response_fn_20,response_fn_21,response_fn_22,response_fn_23,response_fn_24,response_fn_25,response_fn_26,response_fn_27,response_fn_28,response_fn_29,response_fn_30,response_fn_31,response_fn_32,response_fn_33,response_fn_34,response_fn_35,response_fn_36,response_fn_37,response_fn_38
Viscosity at fragmentation [Pa s],Fraz. cry_1 at fragmentation,Fraz. cry_2 at fragmentation,Fraz. cry_3 at fragmentation,Total cry. at fragmentation [wt.],Temperature at fragmentation [K],Pressure at fragmentation [Pa],Vesicularity at fragmentation [vol.],Undercooling at fragmentation [K],Free space to save more info,Gas_1 diss. at fragmentation [wt.],Gas_2 diss. at fragmentation [wt.],Elongational strain rate at frag [1/s],Deborah number at fragmentation,Reynolds bubble expansion at frag,Deborah/Reynolds ratio at frag,Melt viscosity at fragmentation [Pa s],Reynolds number at fragmentation,u_mix / u_rel at fragmentation
,,,,,,,,,,,,,,,,,,
4536261.50751,0.407171096114,0.0,0.0,0.407171096114,1375.53413075,101300.521337,0.591490890762,29.40103691634431,,0.000710449909254,1.05383209764e-07,-0.0716400199884398,-3.249778650721297e-05,-1.734254280972367e-05,1.8738766779339886,452.930792901,0.00038806212903280083,0.0033730528977649276
18890.1411325,0.218696305594,0.0,0.0,0.218696305594,1394.18666187,104463.219607,0.840684699104,10.746481669451441,,0.000784879242584,1.31834606672e-07,35.16941812510457,6.643552719325819e-05,0.7535712484750511,8.81609102360249e-05,297.594309496,1.8034377143070093,0.04349802113127705
23850.2813829,0.203762419978,0.0,0.0,0.203762419978,1382.75764769,152602.726543,0.879747453643,22.144686565012307,,0.000747434881081,4.9782157588e-07,83.48725147633846,0.0001991194439599663,1.1034813340120988,0.0001804465900986261,382.438483004,0.6340652959375287,0.029944508956104104
,,,,,,,,,,,,,,,,,,
5086115.79758,0.396254889208,0.0,0.0,0.396254889208,1366.19216928,101300.227949,0.6624430052329999,38.74299857411279,,0.000637872109449,1.81653393524e-07,0.3878719798721273,0.00019727618042740755,6.9735489880821e-05,2.828920837360654,573.573832471,0.001149124348129402,0.005639673821439527
91296.198635,0.263996208159,0.0,0.0,0.263996208159,1383.33409164,102157.218816,0.855141273433,21.60052773995767,,0.00079876224604,1.96410021233e-07,158.69293353922495,0.0014488061582406183,0.6524448970218126,0.00222058010546779,369.42625612,0.584793253544549,0.031629261256704254
13553.0469383,0.206870789132,0.0,0.0,0.206870789132,1379.90590917,1519261.00827,0.863092487776,24.121763784707127,,0.00228727902404,5.10194652684e-06,7.79227955611169,1.056091305805557e-05,0.21038860482110167,5.019717235653405e-05,233.453933514,20.943890672267973,0.6600179779866301
463890.276295,0.306840248222,0.0,0.0,0.306840248222,1372.4377461,101364.134844,0.816243572725,32.49738085369995,,0.000563384849845,2.81703578841e-07,9.864330378629196,0.00045759669448215,0.010347886801707921,0.044221269835172876,519.236881397,0.07889953194141287,0.021679251166598596
5783.90403746,0.195674982247,0.0,0.0,0.195674982247,1384.22976869,3495951.46671,0.8700840963618,18.532822371305656,,0.00516977896638,6.10842507055e-07,7.100756525112788,4.1070094334700665e-06,0.42494898429972094,9.664711730604702e-06,116.130906031,63.56425561948116,1.2755111228636622
25953.425731,0.187647298436,0.0,0.0,0.187647298436,1354.15364542,138929.581369,0.8632720701284999,50.757439647923775,,0.00101328314187,4.84327441074e-08,91.91798368558231,0.00023855865629315065,1.2726786656815168,0.00018744610303135943,627.838597145,0.42773590127094163,0.019911888542657387
16222.7482853,0.191533611934,0.0,0.0,0.191533611934,1372.92258677,1747869.48355,0.918344029021,30.958776760528053,,0.00302498630239,3.71130665124e-06,16.15105424637909,2.620144875817355e-05,0.23306257376961428,0.00011242237796650293,219.715359736,12.041052736874205,0.4306183127221135
10153.0200914,0.152256675325,0.0,0.0,0.152256675325,1371.79648193,883601.553219,0.9122181121090001,32.63801307593985,,0.0023628857615,1.30212475345e-06,31.901208583588787,3.2389361168961225e-05,0.7635273931535526,4.242069303523655e-05,268.213146274,7.40486493010997,0.1838167199408538
169881.215797,0.311772316224,0.0,0.0,0.311772316224,1392.20987486,101300.294985,0.612235784392,12.725292951209667,,0.000597244029481,2.20598476634e-07,0.19026311309835886,3.2322128974572096e-06,0.0011204975582624292,0.0028846228834888727,336.733280908,0.005215341994754876,0.00813331030800371
,,,,,,,,,,,,,,,,,,
3592.16974533,0.1752647039,0.0,0.0,0.1752647039,1388.37401618,3802348.98787,0.8445733488280001,14.19248046776329,,0.00451416763039,7.42102171291e-06,4.175113253791843,1.4997715513623637e-06,0.4764306498091373,3.1479325521210413e-06,120.538596047,144.42329883823038,2.112222395606322
2884.28771882,0.125454023095,0.0,0.0,0.125454023095,1375.91241487,2779900.48928,0.868357509695,27.308448816860846,,0.00422655657771,2.89215434027e-06,7.4041257360155335,2.1355628929015484e-06,0.9012914223833027,2.369447705664875e-06,159.626001564,73.77461346406535,1.0321930128284231
8913.46857206,0.177656740739,0.0,0.0,0.177656740739,1373.78455582,3221240.42459,0.909039413266,29.153850308262463,,0.00414419430786,6.65954608169e-06,10.645117404931609,9.488491943491536e-06,0.312459718593918,3.0367088552054492e-05,168.641423759,33.694806364726716,0.9293243968123963
,,,,,,,,,,,,,,,,,,
