eval_id,interface,x1,x2,x3,x4,x5,x6,response_fn_1,response_fn_2,response_fn_3,response_fn_4,response_fn_5,response_fn_6,response_fn_7,response_fn_8,response_fn_9,response_fn_10,response_fn_11,response_fn_12,response_fn_13,response_fn_14,response_fn_15,response_fn_16,response_fn_17,response_fn_18,response_fn_19
eval_id,interface,Inlet press. [Pa],Inlet temp. [K],Radius [m],Inlet H2O content [wt.],Inlet CO2 content [wt.],Phenocryst. content [vol.],Total Gas volume fraction,Pressure 1 [Pa],Pressure 2 [Pa],Liquid/particles velocity [m/s],Gas velocity [m/s],Exit temperature [K],Plagioclase crystallinity [-],Pyroxene crystallinity [-],Olivine crystallinity [-],Mach number ,Exit mixture velocity [m/s],Mass flow rate [kg/s],Volume flow rate [m3/s],Fragmentation Code,Fragmentation depth [m],Total crystal content [vol.],Undercooling relative to plag [K],Viscosity at fragmentation [Pa·s],Fragmentation length scale [m]
15,NO_ID,38121876.72,1407.314588,3.744161204,0.01045950426,0.02355418423,0.02173305776,0.8642181703,1196718.608,1196718.612,67.58099411,212.2777891,1386.263017,0.1923965976,0.002024596861,4.002622665e-06,1.000664737,68.77630036,1047045.329,404.133808,0,-1,0.194425197083665,17.97108309088003,0,233.01993698448243
16,NO_ID,39178922.94,1399.856551,5.631893513,0.02374481636,0.03114427748,0.140968616,0.789535672,101305.3222,101305.3262,2.867347915,313.7010313,1375.762855,0.3457184759,0.000653842609,1.812900069e-07,0.178438285,2.975781392,161884.0863,60.13365908,0,-1,0.34637249979900686,29.17230959379208,0,0.4194736768191248
17,NO_ID,36376552.92,1400.296312,1.436274424,0.007575827744,0.005277113952,0.08747556468,0.4490966734,101300.7231,101300.7232,0.05086655868,6.358841725,1388.416031,0.3636354305,0.0007022260964,1.133030259e-07,0.003733919078,0.0512900358,471.6117594,0.1816069558,0,-1,0.36433776989942596,16.519136537216127,0,0.00013201055060948385
20,NO_ID,36826556.57,1400.090053,4.739632609,0.03942265813,0.006879082365,0.05027576015,0.8901061625,3028379.836,3028379.838,116.9198161,242.2726608,1365.211148,0.1810512398,0.004696644067,1.307807953e-06,1.000092255,119.0023808,2404639.268,906.7774124,0,-1,0.185749191674953,37.85068890495995,0,697.4613977988683
21,NO_ID,38279829.31,1391.81838,1.576878427,0.03165718265,0.02009200366,0.04814846279,0.7973908085,101455.2504,101455.2605,3.009094674,381.4308848,1362.168132,0.269089234,0.0007322540569,1.043193526e-07,0.1845893904,3.129730123,12851.41681,4.762569119,0,-1,0.2698215923762526,42.76693663974402,0,0.46197197740281454
24,NO_ID,39510736.23,1400.484133,2.282440574,0.01989142325,0.0018188035,0.1081062487,0.7909105537,101494.2888,101494.3049,6.051318394,384.7093561,1369.040433,0.2734158948,0.0008251319354,1.696191215e-08,0.364994469,6.145196845,54310.20069,20.70765628,0,-1,0.27424104369731217,35.89461065516821,0,1.8682884849776904
26,NO_ID,36074790.3,1417.43906,2.604080492,0.006340271262,0.02219450145,0.1301870365,0.7300689309,101300.9142,101300.9155,1.372892526,88.08196209,1403.409266,0.3055432534,0.0004962801166,3.127308716e-07,0.09057680894,1.400085659,20368.54113,7.894926596,0,-1,0.3060398462474716,1.5259014149121413,0,0.09616499428299288
27,NO_ID,36349584.6,1393.976145,3.099943653,0.03032228179,0.02483025424,0.0319387941,0.9026436238,288202.8232,288212.2516,33.51948888,648.1162505,1358.702014,0.2154973724,0.001415225687,5.478241115e-07,0.9004864411,34.91006459,265601.141,98.51883332,0,-1,0.2169131459111115,46.11353619315196,0,57.32429259063487
33,NO_ID,36745840.36,1411.224338,3.23996336,0.02989256004,0.0255700334,0.1207628113,0.9019158065,284404.3824,284412.6365,33.79308501,650.3283853,1376.351203,0.2341760922,0.001399238928,5.610828e-07,0.9114709124,35.16722925,291370.1132,109.3092556,0,-1,0.2355758922108,28.46677819526417,0,58.26390788230034
34,NO_ID,36846524.13,1411.54957,3.535622049,0.02272831468,0.01467225902,0.06322370067,0.8710761554,2254289.319,2254289.323,95.06156938,213.8541909,1381.906898,0.1690974938,0.003629034836,3.304036051e-06,1.000285743,96.55362539,1250764.902,481.3043285,0,-1,0.172729832672051,21.650356835840057,0,461.0562231116608
